[80, 165, 30.87, 27.19, [[], [1550.4548330751475, 1555.8464476902307, 1560.2738760699463], [], []], [[], [1550.4529086206182, 1555.8462054620989, 1560.2860569731042], [], []]]
[80, 168, 30.91, 27.19, [[], [1550.4542717746244, 1555.8456402454117, 1560.2729016145418], [], []], [[], [1550.4540312197573, 1555.845963229776, 1560.2942588692802], [], []]]
[80, 171, 31.13, 27.23, [[], [1550.454432146167, 1555.8476588588849, 1560.2733888422015], [], []], [[], [1550.4550736344931, 1555.8449942931934, 1560.291010657042], [], []]]
[80, 174, 31.23, 27.26, [[], [1550.4543519602714, 1555.8472551357206, 1560.272739205688], [], []], [[], [1550.453630290196, 1555.8458017376777, 1560.292391172238], [], []]]
[85, 135, 31.32, 27.14, [[], [1550.454351960603, 1555.846205456567, 1560.273226432925], [], []], [[], [1550.4541915916318, 1555.844832804615, 1560.2802101210696], [], []]]
[85, 138, 31.45, 27.2, [[], [1550.4533897318454, 1555.8471743904677, 1560.2730640238183], [], []], [[], [1550.4529086205357, 1555.846851416915, 1560.2827274857314], [], []]]
[85, 141, 31.68, 27.23, [[], [1550.4532293608004, 1555.848304815126, 1560.2729016148796], [], []], [[], [1550.45282843605, 1555.8469321650177, 1560.2839455652784], [], []]]
[85, 144, 31.69, 27.16, [[], [1550.4534699175751, 1555.8486277942943, 1560.2733888427088], [], []], [[], [1550.452748247832, 1555.846528438585, 1560.285407298637], [], []]]
[85, 147, 31.26, 27.23, [[], [1550.4533095464476, 1555.8494352408738, 1560.2729016145415], [], []], [[], [1550.4520265817378, 1555.8479011039467, 1560.2832959388234], [], []]]
[85, 150, 30.42, 27.13, [[], [1550.4529888036113, 1555.850000455298, 1560.2737948653082], [], []], [[], [1550.4541915917146, 1555.84580173575, 1560.2840268235072], [], []]]
[85, 153, 30.1, 27.17, [[], [1550.4533897320944, 1555.8502426893808, 1560.2731452286255], [], []], [[], [1550.4523473235786, 1555.8482240769968, 1560.2824838802696], [], []]]
[85, 156, 29.97, 27.22, [[], [1550.452908618296, 1555.850727158468, 1560.2720083652969], [], []], [[], [1550.4506634335378, 1555.8500812102725, 1560.2846764268018], [], []]]
[85, 159, 29.95, 27.19, [[], [1550.4520265766782, 1555.8524228038364, 1560.2731452286253], [], []], [[], [1550.451545467442, 1555.849112271595, 1560.285650968932], [], []]]
[85, 162, 29.91, 27.23, [[], [1550.4519463913632, 1555.8520190784097, 1560.272901614626], [], []], [[], [1550.4523473206757, 1555.847416628741, 1560.2861382393635], [], []]]
[85, 165, 29.99, 27.16, [[], [1550.4518662057162, 1555.8517768430697, 1560.2729828193492], [], []], [[], [1550.452427508562, 1555.8483855684249, 1560.2848388735238], [], []]]
[85, 168, 29.97, 27.13, [[], [1550.4524275046638, 1555.851211628729, 1560.2729828199404], [], []], [[], [1550.4526680625995, 1555.8478203530785, 1560.2881683556557], [], []]]
[85, 171, 29.95, 27.22, [[], [1550.4520265768442, 1555.8504849237988, 1560.272658000965], [], []], [[], [1550.4529888062652, 1555.8479010977449, 1560.2859757606045], [], []]]
[85, 174, 29.95, 27.17, [[], [1550.4529086180473, 1555.8500004553819, 1560.2726580013034], [], []], [[], [1550.4540312221625, 1555.8470936527578, 1560.2900361843936], [], []]]
[90, 135, 29.92, 27.19, [[], [1550.4533897322603, 1555.8488700276228, 1560.2729016154713], [], []], [[], [1550.4529086209502, 1555.8474166268134, 1560.2777739380542], [], []]]
[90, 138, 29.96, 27.19, [[], [1550.4529888037773, 1555.8484663048778, 1560.2732264330944], [], []], [[], [1550.4513850963972, 1555.847820357772, 1560.2806161051244], [], []]]
[90, 141, 29.98, 27.19, [[], [1550.4533897318456, 1555.8484663047939, 1560.273145228625], [], []], [[], [1550.4521067643159, 1555.8474166320098, 1560.2824026575427], [], []]]
[90, 144, 29.97, 27.2, [[], [1550.453068989258, 1555.8489507730433, 1560.2733076376483], [], []], [[], [1550.4515454674422, 1555.848466313594, 1560.2831334839022], [], []]]
[90, 147, 30.18, 27.25, [[], [1550.4531491753194, 1555.8491122626272, 1560.2729016148796], [], []], [[], [1550.452267137683, 1555.8478203565987, 1560.281996629618], [], []]]
[90, 150, 30.45, 27.17, [[], [1550.4531491749879, 1555.8488700273715, 1560.274038479392], [], []], [[], [1550.4532293623765, 1555.8474166305848, 1560.2849200305727], [], []]]
[90, 153, 30.87, 27.19, [[], [1550.454111403082, 1555.8477396024614, 1560.2736324563698], [], []], [[], [1550.4534699189853, 1555.8463669483303, 1560.2824026539079], [], []]]
[90, 156, 31.42, 27.16, [[], [1550.4541114033304, 1555.8477396027133, 1560.2731452283715], [], []], [[], [1550.4543519629253, 1555.845559503427, 1560.2825651268336], [], []]]
[90, 159, 31.96, 27.22, [[], [1550.4538708460582, 1555.8470129013863, 1560.273632456116], [], []], [[], [1550.454191589724, 1555.8458017352468, 1560.2840268268883], [], []]]
[90, 162, 32.03, 27.2, [[], [1550.453870846224, 1555.847901091962, 1560.273876069862], [], []], [[], [1550.4527482520616, 1555.8476588698638, 1560.285975737021], [], []]]
